Display Name;Search Name;Category;Confidence factor (percent);<-- This factor is for filtering false positives (includes exceptions);Entered or Last checked;Engine
ABAP;ABAP;Other;100;;;
ABC;ABC;Script;23;Many hits about ABC / ABC News TV channel;23.03.2010;Clusty
ActionScript;ActionScript;Script;100;;;
Ada;Ada;Compiled;100;ok in 100 links;23.03.2010;Google
Alice;Alice;Script;100;;;
APL;APL;Script;100;;;
AppleScript;AppleScript;Script;100;;;
Awk;Awk;Script;100;;;
Basic;Basic;Compiled;97;"some ""basic programming concepts"" etc.";23.03.2010;Google
BlitzMax;BlitzMax;Compiled;100;;13.01.2012;
Boo;Boo;Compiled;100;-- Contrib by Antonio Maniero;15.06.2011;
Bourne shell;Bash;Script;100;;;
C;C;Compiled;86;See C++ sheet;19.04.2010;Clusty+Google
C#;C%23;Compiled;100;;;
C++;C%2B%2B;Compiled;85;See C++ sheet;19.04.2010;Clusty+Google
Caml/F#;F%20sharp;Compiled;100;;;
CL (OS/400);CL;Script;100;;;
Clipper;Clipper;Compiled;100;;;
Clojure;Clojure;Script;100;-- Contrib by Antonio Maniero;15.06.2011;
COBOL;COBOL;Other;100;;;
ColdFusion;ColdFusion;Script;100;;;
Csound;Csound;Other;100;;09.03.2012;
D;D;Compiled;77;Many 3-D, chapter enum's, etc. in Google search ;26.04.2010;Clusty+Google
Dart;Dart;Script;100;;10.10.11;
Delphi;Delphi;Compiled;100;;;
Dylan;Dylan;Compiled;100;;;
Eiffel;Eiffel;Compiled;100;;;
Erlang;Erlang;Compiled;100;;;
Euphoria;Euphoria;Compiled;100;;;
Factor;Factor;Compiled;100;;;
Falcon;Falcon;Script;100;;;
Fantom;Fantom;Compiled;100;-- Contrib by Antonio Maniero;15.06.2011;
Focus;Focus;Other;100;;;
Forth;Forth;Compiled;100;;;
Fortran;Fortran;Compiled;100;;;
FoxPro/xBase;Fox%20Pro;Other;100;;;
Genie;Genie;Compiled;100;;;
Go;Go;Compiled;100;;;
Groovy;Groovy;Script;100;;;
Harbour;Harbour;Compiled;100;;;
Haskell;Haskell;Compiled;100;;;
Icon;Icon;Compiled;100;;;
Informix/4GL;Informix%2F4GL;Other;100;;;
IDL;IDL;Script;100;;;
io;io;Script;100;;;
J;J;Script;100;;;
Java;Java;Compiled;100;;;
JavaFX Script;JavaFX%20Script;Script;100;;;
JavaScript;JavaScript;Script;100;;;
LabView;LabView;Other;100;;;
LabWindows/CVI;CVI;Other;100;;;
Limbo;Limbo;Compiled;100;;;
Lingo;Lingo;Script;100;;;
Lisp/Scheme;Scheme;Script;100;;;
Logo;Logo;Other;100;;09.03.2012;
Lua;Lua;Script;100;;;
MAD;MAD;Compiled;45;;24.03.2010;
Maple;Maple;Script;100;;;
Mathematica;Mathematica;Script;100;;;
MATLAB;MATLAB;Script;100;;;
MAX/MSP;MAX%2FMSP;Script;100;;;
Metafont;Metafont;Script;100;;;
ML;ML;Compiled;100;;;
Modula-2;Modula%2D2;Compiled;100;;;
Modula-3;Modula%2D3;Compiled;100;;;
MUMPS;MUMPS;Other;100;;;
Natural;Natural;Other;45;;23.03.2010;
Nemerle;Nemerle;Compiled;100;-- Contrib by Antonio Maniero;15.06.2011;
NXT-G;NXT%2DG;Script;100;;;
Oberon;Oberon;Compiled;100;;;
Objective-C;Objective%2DC;Compiled;100;;;
Ocaml;Ocaml;Compiled;100;;;
Occam;Occam;Compiled;100;;;
OpenEdge ABL;OpenEdge;Other;100;;13.01.2012;
Oz;Oz;Script;100;;;
Pascal;Pascal;Compiled;100;;;
Perl;Perl;Script;100;;;
PHP;PHP;Script;100;;;
PL/I;PL%2FI;Compiled;100;;;
PL/SQL;PL%2FSQL;Other;100;;;
PostScript;PostScript;Script;100;;;
PowerBuilder;PowerBuilder;Script;100;;;
PowerShell;PowerShell;Script;100;;;
Progress;Progress;Other;100;;;
Prolog;Prolog;Other;100;;;
Python;Python;Script;100;;;
NetRexx;NetRexx;Script;100;;10.10.11;
RPG (OS/400);RPG;Other;70;Excluded hits with Role Playing Game;23.03.2010;
Q;Q;Script;100;;;
R;R;Script;100;;;
Rebol;Rebol;Script;100;;10.10.11;
REXX;REXX;Script;100;;;
Ruby;Ruby;Script;100;;;
SAS;SAS;Other;100;;;
Scala;Scala;Compiled;100;;;
Scratch;Scratch;Script;100;;;
Scriptol;Scriptol;Script;100;;10.10.11;
SIGNAL;SIGNAL;Other;65;;24.03.2010;
SISAL;SISAL;Compiled;100;;24.03.2010;
S-lang;S%2Dlang;Script;100;;;
Smalltalk;Smalltalk;Compiled;100;;;
SuperCollider;SuperCollider;Compiled;100;;;
Tcl/Tk;Tcl%2FTk;Script;100;;;
TeX / LaTeX;TeX;Script;100;;;
Transact-SQL;Transact%2DSQL;Other;100;;;
Vala;Vala;Compiled;100;;;
VBScript;VBScript;Script;100;;;
Verilog;Verilog;Other;100;;;
VHDL;VHDL;Other;100;;;
X10;X10;Compiled;100;;13.01.2012;
XSLT;XSLT;Other;100;;;
YACC;YACC;Other;100;;09.03.2012;
